DATE,Time,Housing Starts,Mortgage,Median Price
1981-01-01,1,1547,14.90,67600
1981-02-01,2,1246,15.13,66200
1981-03-01,3,1306,15.40,66700
1981-04-01,4,1360,15.58,68700
1981-05-01,5,1140,16.40,70800
1981-06-01,6,1045,16.70,68800
1981-07-01,7,1041,16.83,69500
1981-08-01,8,940,17.29,72600
1981-09-01,9,911,18.16,65800
1981-10-01,10,873,18.45,69600
1981-11-01,11,837,17.83,71200
1981-12-01,12,910,16.92,68400
1982-01-01,13,843,17.40,66200
1982-02-01,14,866,17.60,65700
1982-03-01,15,931,17.16,67200
1982-04-01,16,917,16.89,70200
1982-05-01,17,1025,16.68,69300
1982-06-01,18,902,16.70,69300
1982-07-01,19,1166,16.82,70900
1982-08-01,20,1046,16.27,70100
1982-09-01,21,1144,15.43,67800
1982-10-01,22,1173,14.61,69700
1982-11-01,23,1372,13.83,73500
1982-12-01,24,1303,13.62,71700
1983-01-01,25,1586,13.25,73500
1983-02-01,26,1699,13.04,73800
1983-03-01,27,1606,12.80,72500
1983-04-01,28,1472,12.78,74700
1983-05-01,29,1776,12.63,74500
1983-06-01,30,1733,12.87,75800
1983-07-01,31,1785,13.42,75200
1983-08-01,32,1910,13.81,76800
1983-09-01,33,1710,13.73,81000
1983-10-01,34,1715,13.54,75900
1983-11-01,35,1785,13.44,75900
1983-12-01,36,1688,13.42,75900
1984-01-01,37,1897,13.37,76200
1984-02-01,38,2260,13.23,79200
1984-03-01,39,1663,13.39,78400
1984-04-01,40,1851,13.65,79600
1984-05-01,41,1774,13.94,81400
1984-06-01,42,1843,14.42,80500
1984-07-01,43,1732,14.67,80700
1984-08-01,44,1586,14.47,82000
1984-09-01,45,1698,14.35,81300
1984-10-01,46,1590,14.13,80100
1984-11-01,47,1689,13.64,82500
1984-12-01,48,1612,13.18,78300
1985-01-01,49,1711,13.08,82500
1985-02-01,50,1632,12.92,82000
1985-03-01,51,1800,13.17,84200
1985-04-01,52,1821,13.20,85600
1985-05-01,53,1680,12.91,80100
1985-06-01,54,1676,12.22,86300
1985-07-01,55,1684,12.03,82100
1985-08-01,56,1743,12.19,83300
1985-09-01,57,1676,12.19,84700
1985-10-01,58,1834,12.14,85400
1985-11-01,59,1698,11.78,87200
1985-12-01,60,1942,11.26,87900
1986-01-01,61,1972,10.88,86600
1986-02-01,62,1848,10.71,89700
1986-03-01,63,1876,10.08,88700
1986-04-01,64,1933,9.94,92500
1986-05-01,65,1854,10.14,92100
1986-06-01,66,1847,10.68,91200
1986-07-01,67,1782,10.51,94100
1986-08-01,68,1807,10.20,91500
1986-09-01,69,1687,10.01,95000
1986-10-01,70,1681,9.97,96400
1986-11-01,71,1623,9.70,94000
1986-12-01,72,1833,9.31,95000
1987-01-01,73,1774,9.20,98500
1987-02-01,74,1784,9.08,95200
1987-03-01,75,1726,9.04,98400
1987-04-01,76,1614,9.83,96500
1987-05-01,77,1628,10.60,104900
1987-06-01,78,1594,10.54,109000
1987-07-01,79,1575,10.28,105000
1987-08-01,80,1605,10.33,106800
1987-09-01,81,1695,10.89,106500
1987-10-01,82,1515,11.26,106500
1987-11-01,83,1656,10.65,117000
1987-12-01,84,1400,10.65,111800
1988-01-01,85,1271,10.43,119000
1988-02-01,86,1473,9.89,110900
1988-03-01,87,1532,9.93,108900
1988-04-01,88,1573,10.20,111000
1988-05-01,89,1421,10.46,110000
1988-06-01,90,1478,10.46,111500
1988-07-01,91,1467,10.43,118000
1988-08-01,92,1493,10.60,110000
1988-09-01,93,1492,10.48,116600
1988-10-01,94,1522,10.30,112900
1988-11-01,95,1569,10.27,110400
1988-12-01,96,1563,10.61,121000
1989-01-01,97,1621,10.73,113000
1989-02-01,98,1425,10.65,118000
1989-03-01,99,1422,11.03,123000
1989-04-01,100,1339,11.05,116700
1989-05-01,101,1331,10.77,119000
1989-06-01,102,1397,10.20,122800
1989-07-01,103,1427,9.88,116000
1989-08-01,104,1332,9.99,122900
1989-09-01,105,1279,10.13,120000
1989-10-01,106,1410,9.95,123000
1989-11-01,107,1351,9.77,125000
1989-12-01,108,1251,9.74,125200
1990-01-01,109,1551,9.90,125000
1990-02-01,110,1437,10.20,126900
1990-03-01,111,1289,10.27,119400
1990-04-01,112,1248,10.37,130000
1990-05-01,113,1212,10.48,125000
